Data,QT_INTER
2016-10-23,911
2016-10-30,807
2016-11-06,785
2016-11-13,740
2016-11-20,749
2016-11-27,811
2016-12-04,823
2016-12-11,763
2016-12-18,775
2016-12-25,793
2017-01-01,892
2017-01-08,917
2017-01-15,790
2017-01-22,781
2017-01-29,822
2017-02-05,878
2017-02-12,798
2017-02-19,802
2017-02-26,836
2017-03-05,835
2017-03-12,891
2017-03-19,799
2017-03-26,821
2017-04-02,887
2017-04-09,812
2017-04-16,786
2017-04-23,852
2017-04-30,891
2017-05-07,922
2017-05-14,886
2017-05-21,960
2017-05-28,936
2017-06-04,1016
2017-06-11,901
2017-06-18,941
2017-06-25,954
2017-07-02,1102
2017-07-09,1036
2017-07-16,1055
2017-07-23,1035
2017-07-30,1031
2017-08-06,1052
2017-08-13,932
2017-08-20,905
2017-08-27,918
2017-09-03,972
2017-09-10,917
2017-09-17,861
2017-09-24,920
2017-10-01,912
2017-10-08,870
2017-10-15,938
2017-10-22,915
2017-10-29,826
2017-11-05,843
2017-11-12,827
2017-11-19,877
2017-11-26,843
2017-12-03,870
2017-12-10,881
2017-12-17,867
2017-12-24,816
2017-12-31,886
2018-01-07,851
2018-01-14,836
2018-01-21,886
2018-01-28,868
2018-02-04,869
2018-02-11,820
2018-02-18,774
2018-02-25,808
2018-03-04,896
2018-03-11,883
2018-03-18,915
2018-03-25,828
2018-04-01,877
2018-04-08,916
2018-04-15,850
2018-04-22,954
2018-04-29,959
2018-05-06,968
2018-05-13,935
2018-05-20,935
2018-05-27,927
2018-06-03,982
2018-06-10,979
2018-06-17,993
2018-06-24,939
2018-07-01,979
2018-07-08,968
2018-07-15,1006
2018-07-22,924
2018-07-29,1005
2018-08-05,996
2018-08-12,982
2018-08-19,949
2018-08-26,981
2018-09-02,961
2018-09-09,871
2018-09-16,908
2018-09-23,941
2018-09-30,921
2018-10-07,970
2018-10-14,888
2018-10-21,876
2018-10-28,877
2018-11-04,860
2018-11-11,845
2018-11-18,886
2018-11-25,852
2018-12-02,957
2018-12-09,870
2018-12-16,907
2018-12-23,930
2018-12-30,862
2019-01-06,925
2019-01-13,897
2019-01-20,869
2019-01-27,867
2019-02-03,896
2019-02-10,828
2019-02-17,854
2019-02-24,887
2019-03-03,942
2019-03-10,897
2019-03-17,880
2019-03-24,854
2019-03-31,919
2019-04-07,963
2019-04-14,894
2019-04-21,933
2019-04-28,943
2019-05-05,961
2019-05-12,983
2019-05-19,936
2019-05-26,968
2019-06-02,1055
2019-06-09,1000
2019-06-16,1035
2019-06-23,986
2019-06-30,1028
2019-07-07,1032
2019-07-14,1074
2019-07-21,1081
2019-07-28,1107
2019-08-04,1103
